top - 14:41:15 up 766 days, 17:32, 12 users,  load average: 0.04, 0.04, 0.01
Tasks: 250 total,   1 running, 225 sleeping,  24 stopped,   0 zombie
Cpu(s):  1.2%us,  1.2%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  12292116k total,  5079644k used,  7212472k free,    80648k buffers
Swap: 14346036k total,  2415116k used, 11930920k free,  3138208k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                                                                                                                        
14445 rivase    18   0 78004  488  484 T  0.0  0.0   0:00.00 x-ephmmer-dom-f                                                                                                                                                                                                                                                
14640 rivase    18   0 63844  528  524 T  0.0  0.0   0:00.00 sh                                                                                                                                                                                                                                                             
14641 rivase    18   0  117m  728  724 T  0.0  0.0   0:33.39 ephmmer                                                                                                                                                                                                                                                        
14948 wheelert  16   0  749m 116m 4764 S  0.0  1.0  31:12.42 dropbox                                                                                                                                                                                                                                                        
15950 nawrocki  15   0 32936 2168 1468 R  0.0  0.0   0:00.01 top                                                                                                                                                                                                                                                            
16969 clements  15   0 94772 1652  808 S  0.0  0.0   0:00.03 screen                                                                                                                                                                                                                                                         
16970 clements  16   0 86236 2760 1940 S  0.0  0.0   0:00.00 bash                                                                                                                                                                                                                                                           
17390 root      16   0  104m 2144 2140 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
17392 rivase    15   0  104m  976  972 S  0.0  0.0   0:07.84 sshd                                                                                                                                                                                                                                                           
17393 rivase    15   0 87516 1388 1384 S  0.0  0.0   0:24.42 bash                                                                                                                                                                                                                                                           
19839 root      15   0  103m 4568 3460 S  0.0  0.0   0:00.02 sshd                                                                                                                                                                                                                                                           
19850 hubleyr   15   0  104m 2496 1348 S  0.0  0.0   0:00.00 sshd                                                                                                                                                                                                                                                           
19851 hubleyr   15   0 86784 2936 1984 S  0.0  0.0   0:00.04 bash                                                                                                                                                                                                                                                           
19864 root      15   0  185m  27m 1272 S  0.0  0.2   9:00.40 puppet                                                                                                                                                                                                                                                         
19962 root      16   0  103m 2196 2192 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
19964 davisf    15   0  105m 1448 1096 S  0.0  0.0   0:06.00 sshd                                                                                                                                                                                                                                                           
19965 davisf    15   0 86228 1372 1368 S  0.0  0.0   0:00.01 bash                                                                                                                                                                                                                                                           
20174 davisf    15   0 37328 1396 1392 S  0.0  0.0   0:00.00 qlogin                                                                                                                                                                                                                                                         
20175 davisf    16   0 63840  532  528 S  0.0  0.0   0:00.00 qlogin_wrapper                                                                                                                                                                                                                                                 
20176 davisf    15   0 65460 2984 2232 S  0.0  0.0   0:05.98 ssh                                                                                                                                                                                                                                                            
20553 root      15   0  104m 4564 3456 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
20555 hubleyr   15   0  104m 2512 1352 S  0.0  0.0   0:00.87 sshd                                                                                                                                                                                                                                                           
20556 hubleyr   15   0 86784 2804 1984 S  0.0  0.0   0:00.12 bash                                                                                                                                                                                                                                                           
21124 rivase    18   0 30764  656  652 T  0.0  0.0   0:01.60 ehmmsearch                                                                                                                                                                                                                                                     
21294 hubleyr   15   0 89436 3212 1880 S  0.0  0.0   0:00.64 csh                                                                                                                                                                                                                                                            
21637 rivase    18   0 30764  656  652 T  0.0  0.0   0:01.14 ehmmsearch                                                                                                                                                                                                                                                     
21980 rivase    15   0 97552  692  688 T  0.0  0.0   0:01.41 ehmmsearch                                                                                                                                                                                                                                                     
23772 wheelert  18   0 31896  272  268 S  0.0  0.0   0:00.00 bash                                                                                                                                                                                                                                                           
23774 wheelert  18   0  3808  348  344 T  0.0  0.0   0:00.00 wc                                                                                                                                                                                                                                                             
